"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","Dispersas"
"67",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C5","P","N",23.9,0,0,0,"N",2017-08-15,FALSE
"68",41,37,36,3.73766961828337,3.63758615972639,3.61091791264422,"AFV09","Cercado Acima","C9","P","N",31.7,20,8,0,"N",2017-08-15,FALSE
"69",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C10","P","N",12.4,0,0,0,"N",2017-08-15,FALSE
"70",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C3","P","N",12.4,0,0,0,"N",2017-08-15,FALSE
"71",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C5","P","N",7.2,0,0,0,"N",2017-08-15,FALSE
"72",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C6","P","N",12.4,0,0,0,"N",2017-08-15,FALSE
"73",38,37,34,3.66356164612965,3.63758615972639,3.55534806148941,"AFV10a","Banheira","C9","P","N",12.4,0,0,0,"N",2017-08-15,FALSE
"74",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C10","D","S",15.7,12,0,0,"N",2017-08-15,TRUE
"75",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C3","N","N",0,0,0,0,"N",2017-08-15,FALSE
"76",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C6","D","S",47.4,0,0,0,"N",2017-08-15,TRUE
"77",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C7","D","S",8.7,0,0,0,"N",2017-08-15,TRUE
"78",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C8","P","S",16.8,6,0,0,"N",2017-08-15,FALSE
"79",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C9","D","S",30.3,14,16,0,"N",2017-08-15,TRUE
