"","Trinta","Sessenta","Cento_e_vinte","log30","log60","log120","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Dias","Data","Dispersas","PontoSemente"
"147",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C9"
"148",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C8"
"150",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C7"
"151",7.23,7.23,7.23,2.10778601468898,2.10778601468898,2.10778601468898,"AFV06","Muro","C10","N","N",6.8,0,0,0,"N",35,2017-08-15,FALSE,"AFV06 C10"
"153",9,9,9,2.30258509299405,2.30258509299405,2.30258509299405,"AFV16a","saida","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV16a C1"
"154",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C5"
"155",31,29,25,3.46573590279973,3.40119738166216,3.25809653802148,"AFV04","Estrada Excelsior","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV04 C1"
"156",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C8"
"157",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C9"
"158",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C1"
"159",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C8","P","N",0,0,0,0,"S",35,2017-08-15,FALSE,"AFV07 C8"
"160",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C2"
"161",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C1"
"162",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C10"
"163",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C3"
"164",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C10"
"165",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C6"
"167",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C4"
"168",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C2"
"169",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C7"
"170",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C5"
"171",0,0,0,0,0,0,"AFV19","Cascatinha","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C1"
"172",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C8"
"173",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C8"
"174",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C6"
"175",0,0,0,0,0,0,"AFV19","Cascatinha","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C10"
"176",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C7"
"177",21.33,18.96,18.96,3.10593106585207,2.99373027088332,2.99373027088332,"AFV07","Lago das Fadas","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV07 C6"
"178",22,21,19,3.13549421592915,3.09104245335832,2.99573227355399,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV03 C7"
"179",0,0,0,0,0,0,"AFV19","Cascatinha","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C2"
"180",0,0,0,0,0,0,"AFV19","Cascatinha","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C6"
"181",0,0,0,0,0,0,"AFV19","Cascatinha","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C5"
"182",0,0,0,0,0,0,"AFV19","Cascatinha","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C4"
"183",0,0,0,0,0,0,"AFV18","Escadaria Abaixo","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV18 C9"
"185",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C10","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C10"
"186",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C1","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C1"
"187",0,0,0,0,0,0,"AFV19","Cascatinha","C8","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C8"
"188",41.85,39.38,36.92,3.75770564504379,3.69833461288469,3.63547867738682,"AFV20","Grutas","C5","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV20 C5"
"189",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C2","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C2"
"190",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C6","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C6"
"192",0,0,0,0,0,0,"AFV19","Cascatinha","C9","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C9"
"193",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C4"
"194",15,15,15,2.77258872223978,2.77258872223978,2.77258872223978,"AFV01","Restaurante Acima","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV01 C3"
"195",0,0,0,0,0,0,"AFV19","Cascatinha","C7","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV19 C7"
"196",11.85,10.67,10.67,2.55334381134123,2.45702144629846,2.45702144629846,"AFV11","Casa do Pesquisador","C3","N","N",0,0,0,0,"N",35,2017-08-15,FALSE,"AFV11 C3"
