"","X.1","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","Data","N","Sessenta"
"127",127,141,"AFV02","Restaurante Abaixo","C2","N","N",0,0,0,0,"N","2017/07/13",141,35.69
"128",128,161,"AFV02","Restaurante Abaixo","C2","P","N",15.2,0,0,0,"N","2017/08/15",161,35.69
"129",129,112,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/05/05",112,35.69
"130",130,122,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/05/07",122,35.69
"131",131,132,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/05/11",132,35.69
"132",132,172,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/05/18",172,35.69
"133",133,182,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/05/25",182,35.69
"134",134,102,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/06/01",102,35.69
"135",135,152,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/06/15",152,35.69
"136",136,192,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/06/29",192,35.69
"137",137,142,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/07/13",142,35.69
"138",138,162,"AFV02","Restaurante Abaixo","C3","N","N",0,0,0,0,"N","2017/08/15",162,35.69
"139",139,113,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/05/05",113,35.69
"140",140,123,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/05/07",123,35.69
"141",141,133,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/05/11",133,35.69
"142",142,173,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/05/18",173,35.69
"143",143,183,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/05/25",183,35.69
"144",144,103,"AFV02","Restaurante Abaixo","C4","N","N",0,0,0,0,"N","2017/06/01",103,35.69
