;Pontos;Nome;Semente;Destino;Enterrada;Distancia;D2;D3;D4;Mudanca;X12;Data;Sessenta
159;AFV03;Circuito Mylena;C7;D;S;8;0;0;0;S;NA;2018/05/30;12.85714286
160;AFV03;Circuito Mylena;C7;D;S;8;0;0;0;N;NA;2018/06/14;12.85714286
161;AFV03;Circuito Mylena;C7;D;S;8;0;0;0;N;NA;2018/07/02;12.85714286
162;AFV03;Circuito Mylena;C7;D;S;8;0;0;0;N;NA;2018/08/01;12.85714286
163;AFV03;Circuito Mylena;C8;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
164;AFV03;Circuito Mylena;C8;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
165;AFV03;Circuito Mylena;C8;D;S;13;0;0;0;S;NA;2018/05/02;12.85714286
166;AFV03;Circuito Mylena;C8;D;S;13;0;0;0;N;NA;2018/05/09;12.85714286
167;AFV03;Circuito Mylena;C8;S;N;0;0;0;0;S;NA;2018/05/16;12.85714286
168;AFV03;Circuito Mylena;C8;S;N;0;0;0;0;N;NA;2018/05/30;12.85714286
169;AFV03;Circuito Mylena;C8;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
170;AFV03;Circuito Mylena;C8;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
171;AFV03;Circuito Mylena;C8;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
172;AFV03;Circuito Mylena;C9;N;N;0;0;0;0;N;NA;2018/04/20;12.85714286
173;AFV03;Circuito Mylena;C9;N;N;0;0;0;0;N;NA;2018/04/24;12.85714286
174;AFV03;Circuito Mylena;C9;N;N;0;0;0;0;N;NA;2018/05/02;12.85714286
175;AFV03;Circuito Mylena;C9;N;N;0;0;0;0;N;NA;2018/05/09;12.85714286
176;AFV03;Circuito Mylena;C9;S;N;0;0;0;0;S;NA;2018/05/16;12.85714286
177;AFV03;Circuito Mylena;C9;S;N;0;0;0;0;N;NA;2018/05/30;12.85714286
178;AFV03;Circuito Mylena;C9;S;N;0;0;0;0;N;NA;2018/06/14;12.85714286
179;AFV03;Circuito Mylena;C9;S;N;0;0;0;0;N;NA;2018/07/02;12.85714286
180;AFV03;Circuito Mylena;C9;S;N;0;0;0;0;N;NA;2018/08/01;12.85714286
181;AFV04;Estrada Excelsior;C1;N;N;0;0;0;0;N;NA;2018/04/20;21.25
182;AFV04;Estrada Excelsior;C1;N;N;0;0;0;0;N;NA;2018/04/24;21.25
183;AFV04;Estrada Excelsior;C1;N;N;0;0;0;0;N;NA;2018/05/02;21.25
184;AFV04;Estrada Excelsior;C1;N;N;0;0;0;0;N;NA;2018/05/09;21.25
185;AFV04;Estrada Excelsior;C1;N;N;0;0;0;0;N;NA;2018/05/16;21.25
186;AFV04;Estrada Excelsior;C1;D;S;12;0;0;0;S;NA;2018/05/30;21.25
187;AFV04;Estrada Excelsior;C1;D;S;12;0;0;0;N;NA;2018/06/14;21.25
188;AFV04;Estrada Excelsior;C1;D;S;12;0;0;0;N;NA;2018/07/02;21.25
189;AFV04;Estrada Excelsior;C1;D;S;12;0;0;0;N;NA;2018/08/01;21.25
190;AFV04;Estrada Excelsior;C10;N;N;0;0;0;0;N;NA;2018/04/20;21.25
191;AFV04;Estrada Excelsior;C10;N;N;0;0;0;0;N;NA;2018/04/24;21.25
192;AFV04;Estrada Excelsior;C10;N;N;0;0;0;0;N;NA;2018/05/02;21.25
193;AFV04;Estrada Excelsior;C10;N;N;0;0;0;0;N;NA;2018/05/09;21.25
194;AFV04;Estrada Excelsior;C10;S;N;0;0;0;0;S;NA;2018/05/16;21.25
195;AFV04;Estrada Excelsior;C10;S;N;0;0;0;0;N;NA;2018/05/30;21.25
196;AFV04;Estrada Excelsior;C10;S;N;0;0;0;0;N;NA;2018/06/14;21.25
197;AFV04;Estrada Excelsior;C10;S;N;0;0;0;0;N;NA;2018/07/02;21.25
198;AFV04;Estrada Excelsior;C10;S;N;0;0;0;0;N;NA;2018/08/01;21.25
199;AFV04;Estrada Excelsior;C2;N;N;0;0;0;0;N;NA;2018/04/20;21.25
200;AFV04;Estrada Excelsior;C2;N;N;0;0;0;0;N;NA;2018/04/24;21.25
201;AFV04;Estrada Excelsior;C2;N;N;0;0;0;0;N;NA;2018/05/02;21.25
202;AFV04;Estrada Excelsior;C2;N;N;0;0;0;0;N;NA;2018/05/09;21.25
203;AFV04;Estrada Excelsior;C2;N;N;21;0;0;0;N;NA;2018/05/16;21.25
204;AFV04;Estrada Excelsior;C2;D;S;21;0;0;0;S;NA;2018/05/30;21.25
