"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","N","Sessenta"
"1051",1226,"AFV13","Centro de Visitantes","C6","RP","N","0","0",0,0,"N",NA,1226,"2018/06/14",1226,60
"1052",1416,"AFV13","Centro de Visitantes","C6","RP","N","0","0",0,0,"N",NA,1416,"2018/07/02",1416,60
"1053",1606,"AFV13","Centro de Visitantes","C6","RP","N","0","0",0,0,"N",NA,1606,"2018/08/01",1606,60
"1054",87,"AFV13","Centro de Visitantes","C7","N","N","0","0",0,0,"N",NA,87,"2018/04/20",87,60
"1055",277,"AFV13","Centro de Visitantes","C7","N","N","0","0",0,0,"N",NA,277,"2018/04/24",277,60
"1056",467,"AFV13","Centro de Visitantes","C7","D","S","34","0",0,0,"S",NA,467,"2018/05/02",467,60
"1057",657,"AFV13","Centro de Visitantes","C7","D","S","34","0",0,0,"N",NA,657,"2018/05/09",657,60
"1058",847,"AFV13","Centro de Visitantes","C7","RP","N","0","0",0,0,"S",NA,847,"2018/05/16",847,60
"1059",1037,"AFV13","Centro de Visitantes","C7","RP","N","0","0",0,0,"N",NA,1037,"2018/05/30",1037,60
"1060",1227,"AFV13","Centro de Visitantes","C7","RP","N","0","0",0,0,"N",NA,1227,"2018/06/14",1227,60
"1061",1417,"AFV13","Centro de Visitantes","C7","RP","N","0","0",0,0,"N",NA,1417,"2018/07/02",1417,60
"1062",1607,"AFV13","Centro de Visitantes","C7","RP","N","0","0",0,0,"N",NA,1607,"2018/08/01",1607,60
"1063",88,"AFV13","Centro de Visitantes","C8","N","N","0","0",0,0,"N",NA,88,"2018/04/20",88,60
"1064",278,"AFV13","Centro de Visitantes","C8","D","S","28","0",0,0,"S",NA,278,"2018/04/24",278,60
"1065",468,"AFV13","Centro de Visitantes","C8","D","S","28","0",0,0,"N",NA,468,"2018/05/02",468,60
"1066",658,"AFV13","Centro de Visitantes","C8","RP","N","0","0",0,0,"S",NA,658,"2018/05/09",658,60
"1067",848,"AFV13","Centro de Visitantes","C8","RP","N","0","0",0,0,"N",NA,848,"2018/05/16",848,60
"1068",1038,"AFV13","Centro de Visitantes","C8","RP","N","0","0",0,0,"N",NA,1038,"2018/05/30",1038,60
"1069",1228,"AFV13","Centro de Visitantes","C8","RP","N","0","0",0,0,"N",NA,1228,"2018/06/14",1228,60
"1070",1418,"AFV13","Centro de Visitantes","C8","RP","N","0","0",0,0,"N",NA,1418,"2018/07/02",1418,60
"1071",1608,"AFV13","Centro de Visitantes","C8","RP","N","0","0",0,0,"N",NA,1608,"2018/08/01",1608,60
"1072",89,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"S",NA,89,"2018/04/20",89,60
"1073",279,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,279,"2018/04/24",279,60
"1074",469,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,469,"2018/05/02",469,60
"1075",659,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,659,"2018/05/09",659,60
"1076",849,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,849,"2018/05/16",849,60
"1077",1039,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,1039,"2018/05/30",1039,60
"1078",1229,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,1229,"2018/06/14",1229,60
"1079",1419,"AFV13","Centro de Visitantes","C9","D","S","41.3","0",0,0,"N",NA,1419,"2018/07/02",1419,60
