"","X","Pontos","Nome","Semente","Destino","Enterrada","Distancia","D2","D3","D4","Mudanca","X12","X13","Data","Trinta","Sessenta","Cento_e_vinte"
"72",72,"AFV01","Restaurante Acima","C9","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"73",73,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.66,14.7,14.7
"74",74,"AFV01","Restaurante Acima","C9","S","N",0,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"75",75,"AFV01","Restaurante Acima","C9","D","S",17,0,0,0,"S",NA,NA,"2018-05-09",17.66,14.7,14.7
"76",76,"AFV01","Restaurante Acima","C9","S","N",0,0,0,0,"S",NA,NA,"2018-06-14",17.66,14.7,14.7
"77",77,"AFV01","Restaurante Acima","C9","D","N",17,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"78",78,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"79",79,"AFV01","Restaurante Acima","C9","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"80",80,"AFV01","Restaurante Acima","C9","D","N",17,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
"81",81,"AFV01","Restaurante Acima","C7","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"82",82,"AFV01","Restaurante Acima","C4","N","N",8.7,0,0,0,"N",NA,NA,"2018-06-14",17.66,14.7,14.7
"83",83,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.66,14.7,14.7
"84",84,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",NA,NA,"2018-04-20",17.66,14.7,14.7
"85",85,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",NA,NA,"2018-04-24",17.66,14.7,14.7
"86",86,"AFV01","Restaurante Acima","C4","N","N",0,0,0,0,"N",NA,NA,"2018-05-30",17.66,14.7,14.7
"87",87,"AFV01","Restaurante Acima","C5","D","S",12,0,0,0,"N",NA,NA,"2018-08-01",17.66,14.7,14.7
"88",88,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-02",17.66,14.7,14.7
"89",89,"AFV01","Restaurante Acima","C5","D","S",12,0,0,0,"N",NA,NA,"2018-07-02",17.66,14.7,14.7
"90",90,"AFV01","Restaurante Acima","C5","N","N",0,0,0,0,"N",NA,NA,"2018-05-09",17.66,14.7,14.7
"91",91,"AFV03","Circuito Mylena","C3","S","N",0,0,0,0,"S",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"92",92,"AFV03","Circuito Mylena","C6","S","N",0,0,0,0,"15",NA,NA,"2018-05-30",17.14285714,12.85714286,11.42857143
"93",93,"AFV03","Circuito Mylena","C2","S","N",0,0,0,0,"N",NA,NA,"2018-08-01",17.14285714,12.85714286,11.42857143
"94",94,"AFV03","Circuito Mylena","C7","N","N",0,0,0,0,"N",NA,NA,"2018-05-16",17.14285714,12.85714286,11.42857143
